,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-06-28,$11162.17,$12445.17,$10914.50,$12407.33,$12407.33,35087757765.0
1,2019-06-29,$12400.76,$12400.91,$11508.38,$11959.37,$11959.37,29923961127.0
2,2019-06-30,$11931.99,$12178.38,$10799.01,$10817.16,$10817.16,27256473494.0
3,2019-07-01,$10796.93,$11206.44,$10089.31,$10583.13,$10583.13,29378589324.0
4,2019-07-02,$10588.68,$10912.19,$9737.88,$10801.68,$10801.68,31015895222.0
5,2019-07-03,$10818.16,$11968.08,$10818.16,$11961.27,$11961.27,30796494293.0
6,2019-07-04,$11972.72,$12006.08,$11166.57,$11215.44,$11215.44,25920294033.0
7,2019-07-05,$11203.10,$11395.66,$10874.96,$10978.46,$10978.46,23838480210.0
8,2019-07-06,$10982.54,$11620.96,$10982.54,$11208.55,$11208.55,21092024306.0
9,2019-07-07,$11217.62,$11541.62,$11148.80,$11450.85,$11450.85,19369044276.0
10,2019-07-08,$11446.60,$12345.83,$11393.37,$12285.96,$12285.96,23482551458.0
11,2019-07-09,$12284.33,$12779.13,$12233.26,$12573.81,$12573.81,28167921522.0
12,2019-07-10,$12571.54,$13129.53,$11710.98,$12156.51,$12156.51,33627574244.0
13,2019-07-11,$12139.71,$12144.62,$11158.92,$11358.66,$11358.66,28595327690.0
14,2019-07-12,$11354.30,$11905.49,$11179.14,$11815.99,$11815.99,23534692796.0
15,2019-07-13,$11813.13,$11841.96,$10908.48,$11392.38,$11392.38,21042616383.0
16,2019-07-14,$11381.02,$11451.20,$10234.58,$10256.06,$10256.06,22486000001.0
17,2019-07-15,$10257.84,$11052.77,$9992.01,$10895.09,$10895.09,25384047206.0
18,2019-07-16,$10896.65,$10996.63,$9448.11,$9477.64,$9477.64,24151199069.0
19,2019-07-17,$9471.21,$9963.13,$9163.13,$9693.80,$9693.80,24569921548.0
20,2019-07-18,$9698.50,$10736.84,$9376.80,$10666.48,$10666.48,25187024648.0
21,2019-07-19,$10653.96,$10716.98,$10229.63,$10530.73,$10530.73,20727426309.0
22,2019-07-20,$10525.82,$11048.66,$10451.28,$10767.14,$10767.14,20206615154.0
23,2019-07-21,$10777.53,$10841.89,$10389.60,$10599.11,$10599.11,17130580467.0
24,2019-07-22,$10596.95,$10651.79,$10154.92,$10343.11,$10343.11,16334414913.0
25,2019-07-23,$10346.75,$10346.75,$9883.59,$9900.77,$9900.77,17851916994.0
